tipo_vehiculo,num_dist22_CERO,num_dist22_DISTINTIVO B,num_dist22_DISTINTIVO C,num_dist22_ECO,num_dist22_DISTINTIVO SIN,por_dist22_CERO,por_dist22_DISTINTIVO B,por_dist22_DISTINTIVO C,por_dist22_ECO,por_dist22_SIN DISTINTIVO,tasa_CERO,tasa_DISTINTIVO B,tasa_DISTINTIVO C,tasa_ECO,tasa_SIN DISTINTIVO,em_tipo_CERO,em_tipo_DISTINTIVO B,em_tipo_DISTINTIVO C,em_tipo_ECO,em_tipo_SIN DISTINTIVO
autobuses_otros,651,63181,57637,5179,465377,0.10996157256872598,10.672015539884296,9.735568599299016,0.8747941387610321,78.60766014948693,0.013712358942796083,1.3308149775188929,1.2140387594254038,0.10908802913170647,9.802483053335811,4.01,11.64,4.09,3.95,19.31
camiones,4566,785070,380457,12399,1282135,0.18526129917427667,31.853501564334074,15.436696911946513,0.5030781534082034,52.021462071136924,0.09617608438219187,16.5363465978816,8.013767966665696,0.2611667258551899,27.006290834288563,4.31,13.77,4.55,3.54,25.2
furgonetas,29715,715704,601226,53098,1218327,1.134996390470843,27.33708418797053,22.96447382995871,2.0281352293865327,46.53531036221338,0.6259028356147245,15.075253678640442,12.663942730785742,1.1184313903910699,25.662269022580524,2.63,12.43,4.62,3.09,29.07
motocicletas,40729,522292,2256456,1293,1186831,1.0162937877298663,13.032534925507806,56.30440754955396,0.03226369092132675,29.614500046287045,0.8578965704779442,11.001313943088865,47.52893181355741,0.027235146102972865,24.998852037538583,2.92,11.9,4.61,3.53,17.4
tractores,80,54857,125370,2574,590488,0.010344350497627912,7.093250440604678,16.21089027359514,0.33282947726117806,76.35268545804136,0.0016850825121715617,1.155482142127442,2.6407349318868585,0.054217529829119995,12.437762530589513,2.92,11.9,4.61,3.53,17.4
turismos,200212,7891167,9026800,985654,7137241,0.7931992117292631,31.263198229996075,35.762345136344045,3.904960620930789,28.276296800999827,4.217171749086159,166.21584390406656,190.13628526087817,20.761353980649357,150.33549992817336,2.5,14.58,7.17,3.67,28.41
todos,275953,10032271,12447946,1060197,11880399,0.7730476200561138,28.10414534470714,34.87135501294431,2.9700085436310952,33.281443478661345,5.812544681015987,211.3150552433238,262.1977014631993,22.331492801959413,250.24315740650638,2.72,14.47,7.17,3.64,27.89
